X--Trace 1::[transient: TIME],Y--Trace 1::[Sum: V(4)],,X--Trace 2::[transient: TIME],Y--Trace 2::[2ndOrderFilter: V(17)],,X--Trace 3::[transient: TIME],Y--Trace 3::[Noise: V(1)],,X--Trace 4::[transient: TIME],Y--Trace 4::[4thOrderFilter: V(5)],,X--Trace 5::[transient: TIME],Y--Trace 5::[Clean: V(2)]
6.467473873462538e-8,-0.03633115436591494,,6.467473873462538e-8,-5.394330764824014e-10,,6.467473873462538e-8,-0.028217556686679416,,6.467473873462538e-8,-8.38236911449847e-7,,6.467473873462538e-8,0.006095446328492933
6.535825302580203e-8,-0.03555830205807363,,6.535825302580203e-8,-5.34409988224007e-10,,6.535825302580203e-8,0.08212460555411265,,6.535825302580203e-8,-8.382835006349765e-7,,6.535825302580203e-8,0.006159865898384971
6.608421666788414e-8,-0.03316035971696716,,6.608421666788414e-8,-5.29072512639865e-10,,6.608421666788414e-8,-0.06394864759809353,,6.608421666788414e-8,-8.382997317432159e-7,,6.608421666788414e-8,0.006228286213888877
6.7318157272889e-8,-0.013169643938526087,,6.7318157272889e-8,-5.199970595250383e-10,,6.7318157272889e-8,-0.05787586056825744,,6.7318157272889e-8,-8.382522359979288e-7,,6.7318157272889e-8,0.006344582120740927
6.78623009941401e-8,-0.010010621950047566,,6.78623009941401e-8,-5.159943456524877e-10,,6.78623009941401e-8,0.0168823622244967,,6.78623009941401e-8,-8.382021148666743e-7,,6.78623009941401e-8,0.00639586634263856
6.850079661097474e-8,-0.010023157168004065,,6.850079661097474e-8,-5.112979614856959e-10,,6.850079661097474e-8,-0.010893152602580851,,6.850079661097474e-8,-8.381461366245509e-7,,6.850079661097474e-8,0.006456042998764748
6.905290562799233e-8,-0.008000959720222403,,6.905290562799233e-8,-5.072376278984087e-10,,6.905290562799233e-8,-0.01976544977234657,,6.905290562799233e-8,-8.381133708683125e-7,,6.905290562799233e-8,0.00650807792625468
6.964894000034465e-8,-0.003755854755208774,,6.964894000034465e-8,-5.028557721493896e-10,,6.964894000034465e-8,-0.051721679137945155,,6.964894000034465e-8,-8.380869119159913e-7,,6.964894000034465e-8,0.006564252709091424
7.084100874504928e-8,0.01029460307556545,,7.084100874504928e-8,-4.940983932210854e-10,,7.084100874504928e-8,-0.08217629987808789,,7.084100874504928e-8,-8.380155331223732e-7,,7.084100874504928e-8,0.006676602267840449
7.149230470324419e-8,0.017171216112944414,,7.149230470324419e-8,-4.893177106856141e-10,,7.149230470324419e-8,-0.05907280414276681,,7.149230470324419e-8,-8.379600384718243e-7,,7.149230470324419e-8,0.006737985312350167
7.237646374682627e-8,0.017806238190529993,,7.237646374682627e-8,-4.828340687782664e-10,,7.237646374682627e-8,0.005975899929787841,,7.237646374682627e-8,-8.378898608213091e-7,,7.237646374682627e-8,0.006821315126238625
7.327394487039975e-8,0.015307122876136602,,7.327394487039975e-8,-4.762615411671308e-10,,7.327394487039975e-8,-0.02722239332603156,,7.327394487039975e-8,-8.378552467441305e-7,,7.327394487039975e-8,0.006905900507997003
7.419868987340818e-8,0.019644493844642362,,7.419868987340818e-8,-4.694997824063444e-10,,7.419868987340818e-8,-0.06812315372863521,,7.419868987340818e-8,-8.378464825481101e-7,,7.419868987340818e-8,0.006993055437387152
7.510993559120392e-8,0.023092295236834072,,7.510993559120392e-8,-4.6284828969072083e-10,,7.510993559120392e-8,-0.023497379891453066,,7.510993559120392e-8,-8.37830436492635e-7,,7.510993559120392e-8,0.007078938086760175
7.600667414452146e-8,0.02084274664097561,,7.600667414452146e-8,-4.5631586374877726e-10,,7.600667414452146e-8,-0.010085885880696938,,7.600667414452146e-8,-8.378125651931662e-7,,7.600667414452146e-8,0.0071634534661898525
7.747293381026947e-8,0.008309860327519451,,7.747293381026947e-8,-4.4566690957712776e-10,,7.747293381026947e-8,0.04994365071753296,,7.747293381026947e-8,-8.378441553232815e-7,,7.747293381026947e-8,0.0073016447824034245
7.853597377662318e-8,0.00002587544768357933,,7.853597377662318e-8,-4.379731896799409e-10,,7.853597377662318e-8,0.0004517758284581786,,7.853597377662318e-8,-8.379145578520116e-7,,7.853597377662318e-8,0.007401833638026364
7.933118174588678e-8,0.00556451076294443,,7.933118174588678e-8,-4.322341430814427e-10,,7.933118174588678e-8,-0.0915575031012807,,7.933118174588678e-8,-8.3795908344596e-7,,7.933118174588678e-8,0.007476779993020703
8.010328329051e-8,0.015695156312995125,,8.010328329051e-8,-4.26676602350881e-10,,8.010328329051e-8,-0.06997049558730607,,8.010328329051e-8,-8.379569142140377e-7,,8.010328329051e-8,0.007549548621029301
